tekst,retweets,volgers,plaats,datum,id_str
RT @DrEricDing: ⚠️HOLY SMOKES. Sen Perdue’s broker bought Pfizer stock in Feb even when Pfizer warned of *bad outlook*. Then he bought more…,2866,95,,Thu Dec 03 13:39:21 +0000 2020,1334492420839452674
"Just seen on the news again @Keir_Starmer calling for emergency legislation enabling people to be fined for spreading misinformation.
Otherwise known as disagreeing with the narrative or voicing your own opinion.
#dangerousman
#FreeSpeech 
#Covid19",0,1854,,Thu Dec 03 13:39:21 +0000 2020,1334492419690205189
"RT @GovCanHealth: Reminder! All travellers to Canada whether by air, land or sea must use #ArriveCAN or call 1-833-641-0343 toll-free, with…",28,89,,Thu Dec 03 13:39:18 +0000 2020,1334492410383126530
"RT @CDCgov: 🧪 COVID-19 Science Update:

Read the latest #COVID19 research on the spread of the virus in military settings, reasons for impr…",46,10143,,Thu Dec 03 13:39:18 +0000 2020,1334492407786852360
RT @INTERPOL_HQ: 📣 BREAKING: INTERPOL has issued a global alert to law enforcement across its 194 member countries warning them to prepare…,709,2457,,Thu Dec 03 13:39:17 +0000 2020,1334492406138499072
"RT @RESCUEorg: ""I really admired how everyone helped me. Now I feel it is my turn to help out.""
 
Nyeing is a refugee from Myanmar who step…",1,2032,,Thu Dec 03 13:39:17 +0000 2020,1334492404620156935
"Pfizer-BioNTech COVID-19 vaccine only approved after strict tests: MHRA
https://t.co/08mIjFAknu #COVIDー19 #CovidVaccine #COVID19 #coronavirus #Corona #CoronaVirusUpdates #coronavirusuk #Pfizer #Pfizervaccine #PfizerBioNTech #UK #CoronavirusVaccine #CoronaVaccine",0,3,,Thu Dec 03 13:39:17 +0000 2020,1334492402262790144
"RT @IDEpiPhD: It would be great to know if #COVID19 #vaccines prevent infection in addition to disease, but we rarely determine this from P…",5,3383,,Thu Dec 03 13:39:16 +0000 2020,1334492400262197249
"RT @BleedingMarine: If you can’t wear a mask, if you can’t social distance, if you can’t follow the rules to slow the out-of-control spread…",9,102,,Thu Dec 03 13:39:16 +0000 2020,1334492398257377281
"Canada ‘as well poised as any country’ for #COVID19 vaccine distribution, defence chief @CDS_Canada_CEMD says, by @leeberthiaume  https://t.co/Hk9doQA3xj via @globeandmail #cdnhealth #cdnpoli #vaccination",0,116471,,Thu Dec 03 13:39:15 +0000 2020,1334492397661786112
"RT @siushi: @lapublichealth #COVID19, cold, or flu? ⬇️ https://t.co/9aAq5DPVl8",1,3282,,Thu Dec 03 13:39:14 +0000 2020,1334492389784825860
RT @gbdeclaration: The #Covid19 response in many countries has been blanket #lockdowns. Collateral harms of this are far reaching. A new UK…,129,406,,Thu Dec 03 13:39:13 +0000 2020,1334492385653510148
"#LiftTheTravelBan #LoveIsNotTourism RT @schengen_info: ACI EUROPE has called on European governments to immediately lift quarantine measures and other travel restrictions.

#COVID19 #TravelRestrictions #EUentryban https://t.co/XS4YJQ1jWC",0,150,,Thu Dec 03 13:39:12 +0000 2020,1334492384764305409
"Interesting idea for first phase of #Covid19 vaccine rollout: ""We propose a different approach: target several hot zones with high numbers of Covid-19 cases, especially those zones with rising Covid-19 hospitalization rates."" https://t.co/o9tZcUoOhb via @statnews",0,8721,,Thu Dec 03 13:39:12 +0000 2020,1334492382948192257
"RT @antonioguterres: When crises such as #COVID19 grip communities, people with disabilities are among the worst affected.

Let's commit to…",94,248,,Thu Dec 03 13:39:12 +0000 2020,1334492382289653760
"RT @WHO: #WearAMask to stop #COVID19 from spreading.
-Clean your 👐 before putting it on, when you touch it &amp; after taking it off
-Use, stor…",335,1865,,Thu Dec 03 13:39:10 +0000 2020,1334492376778280960
"RT @BUonCities: Today the @BUonCities team, supported by @Citi &amp; @Rockefeller, released the second set of findings from the 2020 #MeninoSur…",2,536,,Thu Dec 03 13:39:10 +0000 2020,1334492376447000577
"Felt like reposting this today. It’s good we voted Trump out, but we did not demand his removal with millions in the streets &amp; this had a cost. 

#COVIDー19 #COVID19 #Covid_19 

https://t.co/hVTF9cm3Cg",0,1105,,Thu Dec 03 13:39:09 +0000 2020,1334492371933745152
"RT @CDCgov: While getting #COVID19 may offer some natural protection, the risk of severe illness and death from COVID-19 far outweighs any…",226,2785,,Thu Dec 03 13:39:08 +0000 2020,1334492366753894401
Amazon's hiring spree of hundreds of thousands of workers gets its real test starting Black Friday $AMZN #Amazon #Jobs #Retail #Malls #Hiring #NowHiring #FreeDelivery #Delivery #Pandemic #Covid19 #Stocks #WallStreet #Economy  https://t.co/PnDclNFH5J,0,3146,,Thu Dec 03 13:39:08 +0000 2020,1334492364786855939
#COVID19 Yesterday https://t.co/Gwcoj0qfF7,0,10795,,Thu Dec 03 13:39:06 +0000 2020,1334492359367733249
RT @DrEricDing: ⚠️HOLY SMOKES. Sen Perdue’s broker bought Pfizer stock in Feb even when Pfizer warned of *bad outlook*. Then he bought more…,2866,1651,,Thu Dec 03 13:39:06 +0000 2020,1334492358856077312
"RT @euromaestro: More Americans died from COVID-19 in a single day than died from the 9/11 terrorist attacks 

US COVID-19 deaths exceed 3k…",98,251,,Thu Dec 03 13:39:06 +0000 2020,1334492356519686145
"RT @UNDP_Rwanda: In line with the celebration of the International Day of Persons with Disabilities 2020, @UNDP_Rwanda provided 9 cooperati…",1,2131,,Thu Dec 03 13:39:05 +0000 2020,1334492354103963651
"Obama, Bush and Clinton say they're willing to take a #COVID19 vaccine on camera to encourage skeptical Americans to do the same. https://t.co/jTdzCsS30z",0,4647,,Thu Dec 03 13:39:05 +0000 2020,1334492353864867843
"RT @LiuXininBeijing: With new evidence emerging, researchers are investigating the origin of  #COVID19. Anything new we don't know? The Dig…",3,2115,,Thu Dec 03 13:39:05 +0000 2020,1334492352883339266
RT @JamaicaObserver: IBM security researchers say they have detected a cyberespionage effort using targeted phishing emails to try to colle…,3,831,,Thu Dec 03 13:39:03 +0000 2020,1334492346583556102
"RT @vonderleyen: Happy to speak to @UEFA President Čeferin to discuss partnership, #EUGreenDeal, vaccinations &amp; much more. Great to have yo…",50,1597,,Thu Dec 03 13:39:03 +0000 2020,1334492346155724805
"Exciting news for @LBofHounslow residents.
Most of the libraries in #Hounslow are reopened now.
#Covid19 
For destils follow link:  https://t.co/XT3nMLs4TQ https://t.co/9rBje20pke",0,5,"{'id': '0b30aadf406d13cc', 'url': 'https://api.twitter.com/1.1/geo/id/0b30aadf406d13cc.json', 'place_type': 'city', 'name': 'Hounslow', 'full_name': 'Hounslow, London', 'country_code': 'GB', 'country': 'United Kingdom', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.457966, 51.420633], [-0.243419, 51.420633], [-0.243419, 51.502851], [-0.457966, 51.502851]]]}, 'attributes': {}}",Thu Dec 03 13:39:03 +0000 2020,1334492346021519362
Join the Gender Data Network’s webinar with @Data2X and @ECAStats on Tuesday 15 December at 2pm GMT to learn what the @ilo is doing to fill #genderdata gaps in labor statistics during #COVID19. Register here: https://t.co/ndurd0TeyZ. https://t.co/5lhfVIXYSY,0,15199,,Thu Dec 03 13:39:02 +0000 2020,1334492342171168771
"Explore @ODIdev's first Economic Pulse series on #China’s international economic response to #Covid19 and implications for Belt and Road Initiative countries, as investment and engagement shifts from Europe to Asia, Africa and Latin America
https://t.co/CexB6eugcc https://t.co/fBpYVdWhOV",0,14990,,Thu Dec 03 13:39:02 +0000 2020,1334492341990805509
RT @stpiindia: #AI can revolutionise the drug development process for #COVID19 by enabling the pharmaceutical companies to analyse clinical…,131,68,,Thu Dec 03 13:39:02 +0000 2020,1334492341759930371
RT @CanAditude: Should Employers have the right to make it mandatory that their employees get the #Covid19 vaccine?,24,42,,Thu Dec 03 13:39:01 +0000 2020,1334492337993621507
RT @Kat_Arney: “The vaccine has been developed too quickly and is unsafe” Here are some things you should know about why the #COVID19 #vacc…,101,1666,,Thu Dec 03 13:39:00 +0000 2020,1334492334365560836
RT @mengival: I don't get why @erinotoole is even bothered about vaccines at all considering that CPC MP Derek Sloan has a  vaccine petitio…,4,1737,,Thu Dec 03 13:38:59 +0000 2020,1334492329089118211
RT @DrEricDing: NEW—Dire warnings in WH Coronavirus Task Force’s confidential state report warns “#COVID19 risk to all Americans is at a hi…,745,535,,Thu Dec 03 13:38:58 +0000 2020,1334492325175767040
RT @DrEricDing: NEW—Dire warnings in WH Coronavirus Task Force’s confidential state report warns “#COVID19 risk to all Americans is at a hi…,745,15226,,Thu Dec 03 13:38:58 +0000 2020,1334492324856913920
RT @Sevicsafrica: Research and Policy Resources: COVID-19’s Impact on Sexual and Reproductive Health and Rights https://t.co/a9BnPblFAK #co…,1,4546,,Thu Dec 03 13:38:57 +0000 2020,1334492319836491776
Research and Policy Resources: COVID-19’s Impact on Sexual and Reproductive Health and Rights https://t.co/a9BnPblFAK #covid19,1,149,,Thu Dec 03 13:38:56 +0000 2020,1334492314820112390
RT @SheenaParish: @5Agenda21 The Gates family heavily involved in #depopulation abortions Planned Parenthood. Rockefeller Lockstep 2010 pre…,6,4453,,Thu Dec 03 13:38:55 +0000 2020,1334492313918300161
"A disaster..! Debenhams could have to close its #UK operations due to the ""effects of the #covid19 pandemic (as) the outlook for a restructured operation is highly uncertain (...)""

#crisis #retailers #retail #departmentstores #lon…https://t.co/sl8SwYpnKH https://t.co/xpafNZBtKT",0,172,,Thu Dec 03 13:38:55 +0000 2020,1334492311158468609
"RT @BloodDonorsIn: #Faridabad
Need #Blood Type :  A-positive
At : Sarvodaya Hospital. 
Blood Component : Need Plasma from A+ve #COVID19 rec…",27,78,,Thu Dec 03 13:38:55 +0000 2020,1334492310520823809
"From @TheLancet: Growing up in the shadow of #COVID19, #mentalhealth needs increase in youth 

https://t.co/vkefcaB4eY",0,739,,Thu Dec 03 13:38:55 +0000 2020,1334492310504091650
"RT @AmakaUbakaTV: Former Presidents Bill Clinton, Barack Obama &amp; George W. Bush have all agreed to receive a #covid19 vaccine once availabl…",1,338918,,Thu Dec 03 13:38:54 +0000 2020,1334492308964773888
RT @DrEricDing: ⚠️HOLY SMOKES. Sen Perdue’s broker bought Pfizer stock in Feb even when Pfizer warned of *bad outlook*. Then he bought more…,2866,522,,Thu Dec 03 13:38:54 +0000 2020,1334492307563966469
"RT @KathrynDiss: The US has recorded its worst daily #COVID19 death toll: 3,157.

More people died yesterday than in the 911 attacks. https…",5,5306,,Thu Dec 03 13:38:52 +0000 2020,1334492300945178625
"What every mayor in #America should be saying right now.
#LosAngeles 
#COVID19 https://t.co/KvKC3MTs90",0,184,,Thu Dec 03 13:38:51 +0000 2020,1334492295169773570
"RT @DrEricDing: 📍TYSON FOODS &amp; Iowa Gov Kim Reynolds both complicit in outbreak. @TysonFoods even had a Wuhan factory, so it knew #COVID19…",359,181,,Thu Dec 03 13:38:49 +0000 2020,1334492288538521603
"@DanCrenshawTX #COVID19 more than #300kAmericasDiedYesterday.
#TrumpLied300KAmericansDied 
#TrumpHasNoPlan #PenceHasNoPlan
#GOPCorruptionOverCountryComplicit.
#FoxNewsComplicit
#MaskUpAmerica",0,112,,Thu Dec 03 13:38:49 +0000 2020,1334492287510831107
RT @CTurnerFCDO: HRH The Prince of Wales champions the bond between #Commonwealth nations. Today he spoke to @ImranKhanPTI to reaffirm 🇬🇧 &amp;…,187,604,,Thu Dec 03 13:38:48 +0000 2020,1334492284155523073
"RT @sallycthomas1: #IDPWD2020, a great day to START treating #PWD in Ont. with the dignity &amp; respect we deserve, @fordnation! Restore #COVI…",2,1529,,Thu Dec 03 13:38:48 +0000 2020,1334492280938491904
RT @JustinPicheh: Yesterday @CSC_SCC_en reported 21 more prisoners (from 476 on Nov 27th to 497 on Dec 1st) tested positive for #COVID19. W…,1,2777,,Thu Dec 03 13:38:48 +0000 2020,1334492280816807937
"RT @DrDenaGrayson: I will never forgive Trump and the @GOP for willfully LYING while our loved ones DIED on their watch.

Pass it on.

#COV…",9598,14,,Thu Dec 03 13:38:47 +0000 2020,1334492279973744643
"RT @UN_PGA: The surest way to end #COVID19 is also the fairest. That’s why I'm launching an initiative called: #Vaccines4All. 

When vaccin…",43,248,,Thu Dec 03 13:38:47 +0000 2020,1334492279344652289
RT @DrEricDing: ⚠️HOLY SMOKES. Sen Perdue’s broker bought Pfizer stock in Feb even when Pfizer warned of *bad outlook*. Then he bought more…,2866,46,,Thu Dec 03 13:38:47 +0000 2020,1334492278019252224
"RT @clopezcorrea: Totally worth the early start (4:00am)!

Great round table on #COVID19 genomics lead by @JimBethell w/ partners from 🇨🇦,…",4,3540,,Thu Dec 03 13:38:46 +0000 2020,1334492275947294725
"RT @Lachelle_Dawn: I try to be thoughtful about what I write/say because words matter. I don’t always get it right, but this is a hill I am…",19,200,,Thu Dec 03 13:38:46 +0000 2020,1334492275469127680
"IBM detects hacking ploy to target #COVID19 vaccine supply https://t.co/AsqLZ5npBC ""a nation state appeared to be involved.""",0,9244,,Thu Dec 03 13:38:45 +0000 2020,1334492268250750976
"RT @DavidLat: Hard to believe, but true; Japan's #COVID19 death toll is just over 2,100.",13,217,,Thu Dec 03 13:38:43 +0000 2020,1334492262328393731
"RT @UNVolunteers: #TogetherWeCan💙 light up social media with blue hearts like never before, to thank volunteers for their extraordinary eff…",6,3375,,Thu Dec 03 13:38:43 +0000 2020,1334492261489537027
"RT @DrDenaGrayson: I will never forgive Trump and the @GOP for willfully LYING while our loved ones DIED on their watch.

Pass it on.

#COV…",9598,91,,Thu Dec 03 13:38:43 +0000 2020,1334492260239634435
"RT @BallouxFrancois: #COVID19 damages the brain, the collective brain of society. The fervour, the fear, the rage and the anger fuelling bi…",198,1197,,Thu Dec 03 13:38:42 +0000 2020,1334492259199365120
"RT @JourneyHeroTech: ⁦@IBM⁩ has uncovered ""a global #phishing campaign"" focused on organisations associated with the #COVID19 vaccine.  htt…",1,492,,Thu Dec 03 13:38:42 +0000 2020,1334492257924358148
RT @DrEricDing: NEW—Dire warnings in WH Coronavirus Task Force’s confidential state report warns “#COVID19 risk to all Americans is at a hi…,745,575,,Thu Dec 03 13:38:41 +0000 2020,1334492255311126530
"RT @vonderleyen: Happy to speak to @UEFA President Čeferin to discuss partnership, #EUGreenDeal, vaccinations &amp; much more. Great to have yo…",50,4546,,Thu Dec 03 13:38:41 +0000 2020,1334492254413742080
RT @DrEricDing: ⚠️HOLY SMOKES. Sen Perdue’s broker bought Pfizer stock in Feb even when Pfizer warned of *bad outlook*. Then he bought more…,2866,382,,Thu Dec 03 13:38:41 +0000 2020,1334492253390315521
"RT @SabanLab: Why is the incidence of cases, morbidity and mortality of #COVID19 lower in women relative to men? We hope our findings help…",13,434,,Thu Dec 03 13:38:41 +0000 2020,1334492251205087237
"RT @vonderleyen: Happy to speak to @UEFA President Čeferin to discuss partnership, #EUGreenDeal, vaccinations &amp; much more. Great to have yo…",50,1136,,Thu Dec 03 13:38:40 +0000 2020,1334492250735321089
RT @Kat_Arney: “The vaccine has been developed too quickly and is unsafe” Here are some things you should know about why the #COVID19 #vacc…,101,2231,,Thu Dec 03 13:38:40 +0000 2020,1334492250722758656
"RT @Shawnee_Leath: Katie argues that the #COVID19 plan isn’t a stimulus plan, rather it’s about basic funds for desperate people who need t…",26,2694,,Thu Dec 03 13:38:40 +0000 2020,1334492246968655878
tekst,retweets,volgers,plaats,datum,id_str
"Even though earlier I was unhappy that an officer that was a part of the Sandy Hook shootings passed away from #covid19, I'm definitely pissed about the outcome of the Jacob Blake situation. That dude nearly died due to that officer's thoughtless action... #blacklivesmatter #blm",0,358,,Wed Jan 06 06:18:50 +0000 2021,1346702750499934210
RT @CanadianPM: Watch live: Prime Minister Justin Trudeau addresses Canadians on the #COVID19 situation. https://t.co/qW9Qe41UsI,125,11,,Wed Jan 06 06:18:49 +0000 2021,1346702746695548928
"RT @ANCALERTS: Quezon City Mayor Joy Belmonte confirms deal for 750,000 AstraZeneca vaccine doses through a tripartite agreement w/ pharmac…",7,801,,Wed Jan 06 06:18:49 +0000 2021,1346702745814724608
"RT @ndmaindia: #COVID19 | To #staysafe from #coronavirus, make sure to always:  
 
→ Wear your #mask properly 😷
→ Frequently wash your hand…",4,424353,,Wed Jan 06 06:18:49 +0000 2021,1346702743583408128
"RT @Rona19Stats: #COVID19 Statistics: 05 January 2021

Highest number of daily deaths ever recorded‼️⚠️😔
Most amount of active cases record…",17,905,,Wed Jan 06 06:18:48 +0000 2021,1346702741037584384
"RT @DrRossanaRosa: At 22 weeks pregnant I got vaccinated against #COVID19. 

When u r 🤰 you are always thinking for two, so I had a lot of…",20,23,,Wed Jan 06 06:18:44 +0000 2021,1346702723069186053
"RT @CityMalibu: Get the facts about #COVID19 vaccine from @lapublichealth. Hospital staff, residents &amp; staff at Skilled Nursing Facilities…",5,5006,,Wed Jan 06 06:18:44 +0000 2021,1346702721995431939
"""90 per cent of #Covid19 patients put up on #Ventilators died due to the complications caused by the ventilators, which usually pushes huge amount of oxygen inside our body than what we naturally inhale,"" #DrSaritaParikh tells #BombayHC",0,348,"{'id': '7929cea6bd5b32bd', 'url': 'https://api.twitter.com/1.1/geo/id/7929cea6bd5b32bd.json', 'place_type': 'city', 'name': 'Mumbai', 'full_name': 'Mumbai, India', 'country_code': 'IN', 'country': 'India', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]}, 'attributes': {}}",Wed Jan 06 06:18:42 +0000 2021,1346702716588867585
"RT @CityMalibu: Get the facts about #COVID19 vaccine from @lapublichealth. Hospital staff, residents &amp; staff at Skilled Nursing Facilities…",5,348,,Wed Jan 06 06:18:42 +0000 2021,1346702715263602691
"#sapsHQ #SAPS at your service during the #COVID19 pandemic ⚠️ All essential services of the #SAPS remain in place even if a police station is temporarily closed for decontamination. Service delivery is in no way compromised to members of the community. ME
https://t.co/wRDwwDtMBt https://t.co/lOSC0BiaG4",0,713247,,Wed Jan 06 06:18:41 +0000 2021,1346702711371280384
"RT @DrEricDing: 📍Worrisome new data—new B117 variant is not only more infectious, it’s potentially more infectious in children 0-9 (+24%) a…",5295,388,,Wed Jan 06 06:18:40 +0000 2021,1346702706744971264
"Israel authorises use of Moderna vaccine

#Modernavaccine #Covid19 #Israel

Read more: https://t.co/OmY0yZ1yqs",0,2130,,Wed Jan 06 06:18:40 +0000 2021,1346702705041920001
"RT @NRMOnline: This campaign season has been challenging because of restrictions imposed on us by #Covid19. 

Despite #Covid19, our Candida…",9,174,,Wed Jan 06 06:18:38 +0000 2021,1346702698545033216
"RT @jidesanwoolu: Lagos,

There is an urgent need for us to be more circumspect in the way we live, interact and socialize with our friends…",864,82,,Wed Jan 06 06:18:37 +0000 2021,1346702694296203264
"@stepreb @christina_bobb Where did you go to law school, Trump U? You love Trump? Why? His pretending that #COVID19 was no big deal, tax evasion, gutting the EPA or opening wilderness for drilling/destruction? His brilliant sons Eric Trump &amp; Junior? His stage prop #Bible? 🌊😷🧎‍♀️ #GOPHypocrisy https://t.co/ZuWt55RUYn",0,861,,Wed Jan 06 06:18:37 +0000 2021,1346702693784555520
"RT @KSATRJ: Bexar County hit another record for daily #COVID19 cases with 2,152 new cases. There were 5 new deaths reported today as well.…",21,299,,Wed Jan 06 06:18:35 +0000 2021,1346702687849631745
RT @TomFitton: So I just found out the public gallery in the U.S. Capitol will be closed due to alleged #COVID19 concerns during the Electo…,9166,69,,Wed Jan 06 06:18:34 +0000 2021,1346702682078269440
"RT @dysclinic: It's important to rule out ""other""causes of #tachycardia in post-#COVID19 patients: one patient presented to the ER with pos…",32,77,,Wed Jan 06 06:18:32 +0000 2021,1346702672204865536
"RT @GovCanHealth: Travellers to 🇨🇦 must provide information on their mandatory 14-day quarantine plan on or before entry.

Failure to provi…",125,1,,Wed Jan 06 06:18:31 +0000 2021,1346702670640377856
"Oripol's offering 100% pure #meltblown #nonwovenfabric with #highfiltrationefficiency.

For further details contact us at: 9078089434 or mail: sales@oripol.net
Need #Nonwoven Think #Oripol.

#Mask #COVID19 #staysafe #PFE #BFE #newwayoflife #madeinodisha #vocalforlocal #N95 https://t.co/LAoicLpjWD",0,155,,Wed Jan 06 06:18:31 +0000 2021,1346702669637939208
"Where you can learn about Mark #Rutte and his inability to distinguish btw shame &amp; saying sorry, his distorted views of freedom and misreading Isaiah Berlin. 

This may help with maybe understanding why the #Nederland hasn't yet started the #vaccination process against #COVID19. https://t.co/wLRquSnrb1",0,977,,Wed Jan 06 06:18:30 +0000 2021,1346702665301028865
"RT @ndmaindia: #COVID19 | Are you taking the following precautions? 👇 
 
✅ Wearing your #mask properly 😷
✅ Frequently washing your hands wi…",5,342,,Wed Jan 06 06:18:27 +0000 2021,1346702651329634309
"Israel authorises use of Moderna vaccine
#coronavirus #COVID19 #Britain 
Read More:
https://t.co/aWHMlKZxnT",0,419,,Wed Jan 06 06:18:24 +0000 2021,1346702641724723205
"@WHO team investigating #virus origins denied entry.

Proof that #China is hiding what has happened in #Wuhan?

The #WHO is ""disappointed""?

Is #UnitedStates right on this point?
Did #Beijing onpurpose spreading the #covid19 virus?
#Worldwar III?

https://t.co/A4yyduABLX",0,57,,Wed Jan 06 06:18:23 +0000 2021,1346702636070834176
"RT @SusanSchutte2: April Dawn Wheeler, 34, beloved wife, daughter and sister, Whitewater, KS - died of #COVID19 on December 31, 2020. April…",11,69,,Wed Jan 06 06:18:22 +0000 2021,1346702633059250176
"RT @kprabhdeep: #COVID19 risk multiplies with each risk factor - indoors, poor ventilation, more time spent, crowding, speaking/ shouting a…",403,19,,Wed Jan 06 06:18:22 +0000 2021,1346702632606339080
